software,count
BME-FW-NIH-ImageJ-1.51u,0
BME-SW-Adobe-InCopy User License-2018,0
BME-SW-SAS-JMP-13,0
BME-SW-Tripwire-Tripwire Enterprise Agent-8.5.5,0
BME-SW-RefWorks-Write N Cite-3-SS,0
BME-FW-Igor Pavlov-7Zip-18.01,0
BME-FW-NIH-ImageJ-1.51u-SS,0
BME-SW-Adobe-Creative Cloud Full User License-2018-SS,0
BME-SW-IBM-SPSS AMOS-22,0
BME-SW-NCSU-AdmissionPros-4.0.483,0
BME-SW-Tripwire-Tripwire Enterprise Agent-8.5.5-SS,0
BME-FW-Igor Pavlov-7Zip-18.01-SS,0
BME-FW-OpenBabel-Babel GUI-2.4.1,0
BME-SW-Adobe-Lightroom-2018-SS,0
